timestamp,operation,key,latency_ms,status_code,version,stale_read,time_since_last_write_ms
2026-04-05T22:48:09.516223-07:00,read,key-8,6.83,200,58,false,0.00
2026-04-05T22:48:09.516222-07:00,read,key-9,6.84,200,48,false,0.00
2026-04-05T22:48:09.516126-07:00,read,key-9,6.94,200,48,false,0.00
2026-04-05T22:48:09.516221-07:00,read,key-9,6.87,200,48,false,0.00
2026-04-05T22:48:09.516039-07:00,read,key-7,7.06,200,53,false,0.00
2026-04-05T22:48:09.523093-07:00,read,key-7,1.75,200,53,false,0.00
2026-04-05T22:48:09.523101-07:00,read,key-5,2.49,200,49,false,0.00
2026-04-05T22:48:09.525596-07:00,read,key-7,1.65,200,53,false,0.00
2026-04-05T22:48:09.523075-07:00,read,key-7,4.25,200,53,false,0.00
2026-04-05T22:48:09.516109-07:00,read,key-6,63.81,200,53,false,0.00
2026-04-05T22:48:09.579949-07:00,read,key-7,1.42,200,53,false,0.00
2026-04-05T22:48:09.527255-07:00,read,key-8,54.32,200,59,false,0.00
2026-04-05T22:48:09.581399-07:00,read,key-8,0.68,200,58,false,0.00
2026-04-05T22:48:09.581579-07:00,read,key-4,0.53,200,45,false,0.00
2026-04-05T22:48:09.582116-07:00,read,key-6,54.09,200,53,false,0.00
2026-04-05T22:48:09.636246-07:00,read,key-8,52.80,200,59,false,0.00
2026-04-05T22:48:09.516042-07:00,write,key-7,811.90,201,54,false,0.00
2026-04-05T22:48:09.516157-07:00,write,key-1,811.85,201,53,false,0.00
2026-04-05T22:48:09.516036-07:00,write,key-2,811.94,201,45,false,0.00
2026-04-05T22:48:09.516222-07:00,write,key-8,811.70,201,59,false,0.00
2026-04-05T22:48:09.527326-07:00,write,key-5,803.69,201,50,false,0.00
2026-04-05T22:48:09.524865-07:00,write,key-3,806.20,201,51,false,0.00
2026-04-05T22:48:09.523072-07:00,write,key-2,808.04,201,46,false,0.00
2026-04-05T22:48:09.523079-07:00,write,key-1,808.05,201,54,false,0.00
2026-04-05T22:48:10.331068-07:00,read,key-0,2.54,200,43,false,0.00
2026-04-05T22:48:10.333679-07:00,read,key-8,1.60,200,59,false,7.21
2026-04-05T22:48:10.331091-07:00,read,key-4,4.25,200,46,false,0.00
2026-04-05T22:48:10.331173-07:00,read,key-9,4.17,200,48,false,0.00
2026-04-05T22:48:10.331174-07:00,read,key-9,4.18,200,48,false,0.00
2026-04-05T22:48:10.335359-07:00,read,key-1,1.15,200,54,false,5.36
2026-04-05T22:48:10.335387-07:00,read,key-9,1.12,200,48,false,0.00
2026-04-05T22:48:10.335314-07:00,read,key-1,1.20,200,54,false,5.42
2026-04-05T22:48:10.336589-07:00,read,key-1,1.31,200,54,false,6.75
2026-04-05T22:48:10.337929-07:00,read,key-0,1.24,200,43,false,0.00
2026-04-05T22:48:09.58208-07:00,write,key-4,809.91,201,46,false,0.00
2026-04-05T22:48:10.336541-07:00,read,key-5,56.13,200,53,false,61.65
2026-04-05T22:48:10.392716-07:00,read,key-6,1.05,200,53,false,0.00
2026-04-05T22:48:10.393791-07:00,read,key-7,0.62,200,54,false,66.43
2026-04-05T22:48:10.392083-07:00,read,key-9,53.42,200,49,false,0.00
2026-04-05T22:48:10.445562-07:00,read,key-9,1.09,200,48,false,0.00
2026-04-05T22:48:09.689058-07:00,write,key-5,811.87,201,51,false,0.00
2026-04-05T22:48:10.500998-07:00,read,key-4,1.25,200,46,false,110.21
2026-04-05T22:48:10.502285-07:00,read,key-7,1.32,200,54,false,175.73
2026-04-05T22:48:10.328095-07:00,write,key-5,807.85,201,53,false,0.00
2026-04-05T22:48:10.328077-07:00,write,key-5,807.92,201,52,false,0.00
2026-04-05T22:48:10.328059-07:00,write,key-8,807.97,201,60,false,0.00
2026-04-05T22:48:10.328008-07:00,write,key-6,808.00,201,54,false,0.00
2026-04-05T22:48:11.13603-07:00,read,key-8,1.48,200,62,false,1.47
2026-04-05T22:48:11.136081-07:00,read,key-2,1.95,200,46,false,806.90
2026-04-05T22:48:11.137559-07:00,read,key-1,1.65,200,54,false,808.07
2026-04-05T22:48:10.335421-07:00,write,key-3,803.98,201,52,false,0.00
2026-04-05T22:48:10.336534-07:00,write,key-9,802.89,201,49,false,0.00
2026-04-05T22:48:10.339191-07:00,write,key-8,808.13,201,61,false,0.00
2026-04-05T22:48:10.394428-07:00,write,key-8,809.34,201,62,false,0.00
2026-04-05T22:48:11.203836-07:00,read,key-5,1.21,200,53,false,69.05
2026-04-05T22:48:10.44669-07:00,write,key-0,804.74,201,44,false,0.00
2026-04-05T22:48:10.503755-07:00,write,key-1,809.38,201,55,false,0.00
2026-04-05T22:48:11.13949-07:00,write,key-7,806.35,201,55,false,0.00
2026-04-05T22:48:11.139245-07:00,write,key-5,806.59,201,55,false,0.00
2026-04-05T22:48:11.138072-07:00,write,key-9,807.76,201,50,false,0.00
