timestamp,operation,key,latency_ms,status_code,version,stale_read,time_since_last_write_ms
2026-04-05T23:36:08.045459-07:00,read,key-4,5.03,200,51,false,0.00
2026-04-05T23:36:08.045604-07:00,read,key-3,4.93,200,47,false,0.00
2026-04-05T23:36:08.045477-07:00,read,key-3,5.68,200,47,false,0.00
2026-04-05T23:36:08.045534-07:00,read,key-7,5.73,200,51,false,0.00
2026-04-05T23:36:08.050587-07:00,read,key-0,0.74,200,42,false,0.00
2026-04-05T23:36:08.051272-07:00,read,key-8,58.19,200,45,false,0.00
2026-04-05T23:36:08.109482-07:00,read,key-2,0.57,200,46,false,0.00
2026-04-05T23:36:08.110065-07:00,read,key-1,0.94,200,43,false,0.00
2026-04-05T23:36:08.051173-07:00,write,key-9,812.08,201,49,false,0.00
2026-04-05T23:36:08.045654-07:00,write,key-6,817.64,201,61,false,0.00
2026-04-05T23:36:08.0454-07:00,write,key-5,817.88,201,53,false,0.00
2026-04-05T23:36:08.050523-07:00,write,key-0,812.82,201,43,false,0.00
2026-04-05T23:36:08.051339-07:00,write,key-6,812.03,201,62,false,0.00
2026-04-05T23:36:08.04547-07:00,write,key-3,817.91,201,49,false,0.00
2026-04-05T23:36:08.045552-07:00,write,key-2,817.88,201,47,false,0.00
2026-04-05T23:36:08.045437-07:00,write,key-7,817.86,201,52,false,0.00
2026-04-05T23:36:08.045513-07:00,write,key-3,817.93,201,48,false,0.00
2026-04-05T23:36:08.86342-07:00,read,key-5,1.20,200,54,false,1.27
2026-04-05T23:36:08.863371-07:00,read,key-6,1.24,200,62,false,1.25
2026-04-05T23:36:08.863396-07:00,read,key-5,1.22,200,54,false,1.28
2026-04-05T23:36:08.864653-07:00,read,key-0,0.99,200,43,false,2.28
2026-04-05T23:36:08.864647-07:00,read,key-3,1.57,200,49,false,2.76
2026-04-05T23:36:08.863342-07:00,read,key-8,54.59,200,45,false,0.00
2026-04-05T23:36:08.111013-07:00,write,key-5,815.09,201,54,false,0.00
2026-04-05T23:36:08.92618-07:00,read,key-2,1.44,200,47,false,64.24
2026-04-05T23:36:08.918002-07:00,read,key-0,54.17,200,43,false,108.87
2026-04-05T23:36:08.927684-07:00,read,key-3,55.76,200,53,false,120.03
2026-04-05T23:36:08.983516-07:00,read,key-2,1.18,200,48,false,121.30
2026-04-05T23:36:08.984736-07:00,read,key-5,1.15,200,55,false,59.74
2026-04-05T23:36:08.863476-07:00,write,key-5,811.03,201,55,false,0.00
2026-04-05T23:36:08.863378-07:00,write,key-3,811.15,201,51,false,0.00
2026-04-05T23:36:08.863314-07:00,write,key-3,811.22,201,50,false,0.00
2026-04-05T23:36:08.864652-07:00,write,key-3,809.91,201,52,false,0.00
2026-04-05T23:36:08.866234-07:00,write,key-3,808.28,201,53,false,0.00
2026-04-05T23:36:08.865661-07:00,write,key-6,808.85,201,63,false,0.00
